2026-05-12 22:51:01.343230,Code.exe,10.01
2026-05-12 22:51:11.353440,chrome.exe,10.01
2026-05-12 22:51:16.359930,explorer.exe,5.0
2026-05-12 22:51:41.395821,msedge.exe,25.03
2026-05-12 22:51:46.410263,explorer.exe,5.01
2026-05-12 22:52:06.439979,chrome.exe,20.03
2026-05-12 22:52:21.464389,WhatsApp.Root.exe,15.02
2026-05-12 22:53:06.525596,chrome.exe,45.06
2026-05-12 22:53:11.537968,WhatsApp.Root.exe,5.01
2026-05-12 22:53:31.556540,chrome.exe,20.02
2026-05-12 22:53:36.563054,WhatsApp.Root.exe,5.0
2026-05-12 22:53:51.581969,chrome.exe,15.02
2026-05-12 22:53:56.588119,WhatsApp.Root.exe,5.0
2026-05-12 22:54:06.597391,chrome.exe,10.01
2026-05-12 22:54:11.604337,Code.exe,5.01
2026-05-12 22:54:16.615457,chrome.exe,5.01
2026-05-12 22:54:21.621101,Code.exe,5.0
2026-05-12 22:54:36.634650,msedge.exe,15.01
2026-05-12 22:54:41.640319,explorer.exe,5.0
2026-05-12 22:55:01.656812,msedge.exe,20.02
2026-05-12 22:55:41.713075,WhatsApp.Root.exe,40.05
2026-05-12 22:55:46.722484,msedge.exe,5.01
2026-05-12 22:55:51.730569,chrome.exe,5.01
2026-05-12 22:55:56.734903,explorer.exe,5.0
2026-05-12 22:56:06.746718,Code.exe,10.01
2026-05-12 22:56:11.752276,msedge.exe,5.0
2026-05-12 22:56:26.775047,chrome.exe,15.02
2026-05-12 22:57:16.820569,msedge.exe,50.04
2026-05-12 22:57:21.824644,explorer.exe,5.0
2026-05-12 22:57:51.854611,msedge.exe,30.03
2026-05-12 22:57:56.861829,explorer.exe,5.01
2026-05-12 22:58:01.864372,OpenWith.exe,5.0
2026-05-12 22:58:06.868748,explorer.exe,5.0
2026-05-12 22:58:36.900426,EXCEL.EXE,30.03
2026-05-12 22:59:36.968600,msedge.exe,60.06
2026-05-12 22:59:41.974033,ApplicationFrameHost.exe,5.0
